               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.039058,           0.0068649,           0.0035475,              0.8998,             0.90442,             0.92472,             0.60756,            0.040874,           0.0042643,           0.0094101,            0.008964,            0.008964,            0.017264
                 102,            0.042476,           0.0063502,           0.0041591,             0.77928,             0.96387,             0.94644,             0.56731,            0.043387,           0.0045757,            0.009219,           0.0090479,           0.0090479,            0.016448
                 103,            0.036881,           0.0065654,           0.0041164,              0.8567,             0.97619,             0.90377,             0.59667,            0.052392,           0.0043299,           0.0083113,           0.0091316,           0.0091316,            0.015632
                 104,            0.038266,           0.0065747,           0.0038922,              0.8695,             0.96429,             0.94408,             0.51877,            0.053324,           0.0043842,           0.0088664,           0.0092153,           0.0092153,            0.014815
                 105,            0.037568,           0.0067543,           0.0043025,             0.95652,             0.97619,             0.97211,              0.6567,            0.050889,           0.0039933,           0.0090571,           0.0092988,           0.0092988,            0.013999
                 106,            0.036596,           0.0072878,           0.0046764,             0.95404,             0.87601,             0.97272,             0.69505,            0.050255,           0.0040805,           0.0095868,           0.0093822,           0.0093822,            0.013182
                 107,             0.03509,           0.0067626,           0.0048122,             0.97049,             0.96375,             0.96937,             0.72519,            0.046454,           0.0041581,            0.011375,           0.0094654,           0.0094654,            0.012365
                 108,            0.033416,           0.0068799,           0.0048718,             0.93522,             0.96448,             0.97272,             0.75068,            0.037421,           0.0043691,             0.01143,           0.0095486,           0.0095486,            0.011549
                 109,            0.037658,           0.0062555,           0.0046545,              0.9113,             0.97579,              0.9727,             0.60133,            0.033729,           0.0044458,           0.0090473,           0.0096316,           0.0096316,            0.010732
                 110,            0.034767,           0.0068212,           0.0048364,             0.90867,             0.97231,             0.95424,             0.60704,            0.036892,           0.0042244,           0.0083507,           0.0097145,           0.0097145,           0.0099145
                 111,            0.033451,           0.0069034,           0.0042976,             0.93554,             0.97619,             0.97321,             0.74015,            0.035735,           0.0042859,             0.00734,           0.0097292,           0.0097292,           0.0097292
                 112,             0.03951,           0.0061237,             0.00385,             0.95909,             0.97619,              0.9735,             0.56078,            0.041919,           0.0046346,           0.0063898,           0.0097292,           0.0097292,           0.0097292
                 113,            0.048103,           0.0069747,           0.0035743,             0.85581,             0.97586,             0.92492,             0.62996,            0.040423,           0.0045458,           0.0053378,           0.0097243,           0.0097243,           0.0097243
                 114,            0.035469,           0.0071838,           0.0037913,             0.85097,             0.87977,             0.96383,             0.57558,            0.040758,           0.0045788,           0.0041847,           0.0097194,           0.0097194,           0.0097194
                 115,            0.035395,           0.0074388,           0.0039709,              0.9436,             0.97619,              0.9703,               0.662,            0.036661,           0.0046439,           0.0034999,           0.0097145,           0.0097145,           0.0097145
                 116,            0.037313,           0.0065605,           0.0043129,             0.87387,             0.97619,             0.93127,              0.6629,            0.037982,           0.0046169,           0.0032657,           0.0097095,           0.0097095,           0.0097095
                 117,            0.037016,           0.0072222,           0.0041335,             0.77158,             0.90476,             0.97268,             0.69986,            0.039626,           0.0046721,           0.0030934,           0.0097045,           0.0097045,           0.0097045
                 118,            0.033061,           0.0066698,           0.0035633,             0.94332,             0.94048,             0.97085,             0.69578,            0.037786,           0.0046676,           0.0032848,           0.0096994,           0.0096994,           0.0096994
                 119,            0.031006,           0.0064647,           0.0040124,             0.97728,             0.96862,             0.97831,             0.81214,             0.03253,           0.0044208,           0.0037054,           0.0096943,           0.0096943,           0.0096943
                 120,            0.027508,           0.0065659,           0.0035795,             0.97356,             0.97619,               0.975,             0.75668,            0.034604,           0.0043739,           0.0035263,           0.0096892,           0.0096892,           0.0096892
                 121,             0.03497,           0.0055101,           0.0032132,             0.97952,             0.97619,             0.97509,             0.76501,            0.039158,           0.0040877,           0.0033417,            0.009684,            0.009684,            0.009684
