    84/499     2.23G   0.02368   0.01153  0.002404   0.03761        44       640    0.9842    0.9896    0.9954    0.8246     0.018  0.008107  0.002278
    85/499     2.23G   0.02233   0.01124  0.002474   0.03604        42       640    0.9794    0.9904    0.9955    0.8076    0.0165  0.007681   0.00246
    86/499     2.23G   0.02187   0.01048   0.00264   0.03499        40       640    0.9899    0.9794    0.9953    0.8207   0.01594  0.007646  0.002357
    87/499     2.23G   0.02258   0.00994  0.002481     0.035        44       640     0.975    0.9824    0.9954    0.7371    0.0193  0.007714  0.002304
    88/499     2.23G   0.02241   0.01145  0.002301   0.03616        57       640    0.9797    0.9901    0.9953    0.8155   0.01628  0.007659  0.002465
    89/499     2.23G   0.02148   0.01087  0.002608   0.03495        53       640    0.9752    0.9938    0.9953    0.7773   0.01768  0.007535  0.002466
    90/499     2.23G   0.02464   0.01159  0.002347   0.03857        28       640    0.9827    0.9937    0.9952    0.7587   0.01677  0.007681  0.002254
    91/499     2.23G   0.02234   0.01096  0.002377   0.03567        51       640    0.9751    0.9838     0.995    0.7738   0.01578   0.00732  0.002243
    92/499     2.23G   0.02218   0.01057  0.002419   0.03516        40       640    0.9431    0.9877    0.9952    0.7938   0.01656  0.008104  0.002311
    93/499     2.23G   0.02045    0.0104  0.002375   0.03322        49       640    0.9859    0.9805    0.9942    0.8096   0.01503  0.007463  0.002272
    94/499     2.23G   0.02046   0.01084  0.002489   0.03379        62       640    0.9873    0.9816    0.9929     0.809   0.01442  0.007507  0.002249
    95/499     2.23G   0.02174   0.01117  0.002274   0.03519        35       640     0.991    0.9896    0.9948     0.791   0.01615  0.007547  0.002138
    96/499     2.23G    0.0219   0.01073  0.002238   0.03487        37       640    0.9891    0.9937    0.9953    0.7968    0.0164  0.007583  0.002128
    97/499     2.23G   0.02243   0.01114  0.002171   0.03573        46       640    0.9518    0.9688    0.9578    0.7661   0.01901  0.008255  0.002087
    98/499     2.23G   0.01937  0.009942  0.002115   0.03143        51       640    0.9859     0.984    0.9948    0.8054   0.01459  0.007448  0.001995
    99/499     2.23G   0.02098   0.01054  0.002163   0.03368        53       640    0.9923    0.9815    0.9951    0.7513   0.01711  0.008097  0.001965
   100/499     2.23G   0.02161   0.01065  0.002352   0.03461        53       640    0.9913    0.9812    0.9918    0.8087   0.01498  0.007914  0.001988
   101/499     2.23G   0.01997   0.01066  0.002082   0.03271        44       640    0.9831    0.9823    0.9942     0.772   0.01562  0.007611  0.001935
   102/499     2.23G   0.01978  0.009675  0.002141    0.0316        45       640    0.9655      0.99    0.9954    0.7837   0.01585  0.007657  0.001886
   103/499     2.23G   0.01875   0.00987  0.001975    0.0306        36       640    0.9862    0.9937    0.9954    0.8105   0.01425  0.007563  0.001968
   104/499     2.23G   0.01923   0.01029  0.002146   0.03167        46       640    0.9758    0.9822    0.9954      0.74   0.01867  0.007751  0.002016
   105/499     2.23G   0.02134  0.009981  0.002392   0.03371        46       640    0.9935    0.9938    0.9954    0.7701    0.0175  0.007474  0.002102
   106/499     2.23G   0.02034   0.01054  0.002071   0.03295        50       640    0.9916    0.9825    0.9953    0.7723   0.01474  0.007382  0.001994
   107/499     2.23G   0.01936   0.01013  0.002125   0.03162        51       640    0.9824     0.982    0.9953    0.8025   0.01649  0.007719  0.001828
   108/499     2.23G   0.01877  0.009941  0.002022   0.03073        47       640    0.9416    0.9824    0.9952    0.7832   0.01426   0.00716  0.001841
   109/499     2.23G    0.0191  0.009746  0.002055    0.0309        60       640    0.9886    0.9829    0.9949    0.8134   0.01459  0.007134  0.001865
   110/499     2.23G   0.02001   0.01068  0.002126   0.03281        46       640    0.9856    0.9822    0.9929    0.8408   0.01382  0.006758  0.002022
   111/499     2.23G   0.01886    0.0101  0.002119   0.03107        38       640    0.9822    0.9819    0.9909    0.8079   0.01581  0.007249  0.002016
   112/499     2.23G   0.01882  0.009976  0.002089   0.03088        36       640    0.9817    0.9822     0.995    0.8388   0.01506  0.007113  0.001871
   113/499     2.23G   0.01946  0.009465  0.001758   0.03068        45       640    0.9858    0.9825    0.9954    0.8228   0.01682  0.007623  0.001756
   114/499     2.23G   0.02021  0.009931  0.001856     0.032        38       640    0.9867    0.9827    0.9955    0.8176   0.01463  0.007214  0.001717
   115/499     2.23G   0.02136   0.01034  0.001916   0.03362        35       640    0.9867    0.9942    0.9954    0.8036   0.01485  0.007161  0.001857
   116/499     2.23G   0.02125   0.01072  0.002179   0.03415        37       640    0.9263    0.9812    0.9948    0.7413   0.01576  0.007366  0.001894
   117/499     2.23G   0.01883  0.009683  0.002002   0.03052        49       640    0.9887    0.9817    0.9942    0.8098   0.01597  0.007258  0.001894
   118/499     2.23G   0.01663   0.00952  0.001986   0.02814        52       640    0.9787    0.9682     0.995    0.8433   0.01435   0.00707  0.001855
   119/499     2.23G   0.01825  0.009414  0.001672   0.02934        49       640    0.9839    0.9938    0.9954    0.8264   0.01408  0.006886  0.001802
   120/499     2.23G   0.01857   0.01031  0.002252   0.03114        70       640    0.9851    0.9901    0.9953    0.8432   0.01351  0.006953  0.001902
   121/499     2.23G   0.01881   0.01027  0.002047   0.03113        55       640    0.9881    0.9812    0.9905    0.8121   0.01391  0.007389  0.001976
   122/499     2.23G   0.01687   0.01025  0.002137   0.02925        52       640    0.9899    0.9816    0.9931    0.8595   0.01409  0.007222  0.001799
   123/499     2.23G   0.01855  0.009758  0.001799   0.03011        46       640    0.9909    0.9823    0.9949    0.7956   0.01644  0.007688  0.001635
   124/499     2.23G   0.01849  0.009867  0.001763   0.03012        41       640    0.9928    0.9813    0.9936    0.8201    0.0149  0.007355  0.001733
   125/499     2.23G      0.02   0.01005  0.001999   0.03204        39       640    0.9959    0.9816    0.9934    0.8349   0.01342  0.007075  0.001887
   126/499     2.23G   0.01939  0.009559  0.001935   0.03089        60       640     0.992    0.9817    0.9921    0.8503   0.01278  0.006805  0.001823
   127/499     2.23G   0.01859  0.009426  0.001782    0.0298        65       640    0.9913    0.9814    0.9918    0.8184   0.01424  0.007035  0.001713
   128/499     2.23G   0.01749  0.009423  0.001733   0.02865        35       640    0.9904    0.9822    0.9942    0.8009   0.01426  0.007079  0.001655
   129/499     2.23G   0.01931  0.009714  0.001703   0.03073        44       640    0.9905    0.9823    0.9943    0.8091   0.01399  0.006902  0.001614
   130/499     2.23G   0.01933  0.009935  0.001794   0.03106        60       640     0.989    0.9828    0.9944    0.8314    0.0132  0.007207  0.001714
   131/499     2.23G   0.01763  0.009854  0.001906   0.02939        46       640    0.9897    0.9896    0.9955    0.8098    0.0138  0.007387  0.001753
   132/499     2.23G   0.01918  0.009677  0.001829   0.03068        53       640    0.9893    0.9937    0.9954     0.834   0.01355  0.007034  0.001692
   133/499     2.23G   0.01772  0.009774  0.001857   0.02935        56       640     0.991    0.9937    0.9954    0.8257   0.01359  0.007423   0.00168
